order_id,order_date,city,product_category,product_name,order_total,delivery_minutes,customer_rating,payment_method,customer_age
10000,2025-12-15,Alexandria,Food & Groceries,Pasta,410.84,99,,Wallet,28.0
10001,2025-04-10,Alexandria,Books,History Book,635.68,106,1.7,Cash,50.0
10002,2025-11-10,Aswan,Books,Dictionary,807.78,366,2.6,Bank Transfer,45.0
10003,2025-09-28,Mansoura,Books,History Book,283.28,134,4.9,Cash,20.0
10004,2025-11-03,cairo,Electronics,Laptop,589.78,81,3.7,Wallet,
10005,2025-09-21,Cairo,Books,Science Book,382.39,77,4.0,Credit Card,23.0
10006,2025-04-16,Aswan,Clothing,T-Shirt,1058.46,95,1.4,Wallet,57.0
10007,2025-07-27, CAIRO ,Electronics,Smartphone,638.78,121,2.1,Bank Transfer,62.0
10008,2025-06-06,Alex,Electronics,Laptop,784.76,81,2.6,Bank Transfer,41.0
10009,2025-05-19,Alexandria,Food & Groceries,Pasta,1113.02,112,1.3,Wallet,58.0
10010,2025-05-15,Alex,Books,Dictionary,632.29,84,2.2,Bank Transfer,54.0
10011,2025-06-21,cairo,Food & Groceries,Coffee,84.45,122,4.9,Wallet,18.0
10012,2025-08-06,Alexandria,Electronics,Headphones,1980.3,62,2.7,Credit Card,30.0
10013,2025-03-04,giza,Food & Groceries,Rice,832.12,30,4.6,Wallet,56.0
10014,2025-05-23, CAIRO ,Electronics,Tablet,847.51,108,3.8,Bank Transfer,19.0
10015,2025-02-14,Giza,Clothing,T-Shirt,889.99,99,1.7,Credit Card,28.0
10016,2025-12-14,Giza,Books,Science Book,710.18,78,2.7,Bank Transfer,30.0
10017,2025-09-16,Cairo,Electronics,Tablet,341.52,178,3.8,Credit Card,61.0
10018,2025-11-11,Giza,Books,Dictionary,67.94,127,1.3,Credit Card,29.0
10019,2025-10-22,Aswan,Clothing,T-Shirt,645.38,87,2.4,Cash,36.0
10020,2025-05-10,Aswan,Clothing,Jeans,1199.99,112,2.0,Wallet,55.0
10021,2025-11-21,cairo,Books,Science Book,1226.32,78,4.2,Cash,23.0
10022,2025-12-15,Alex,Books,Dictionary,257.27,92,3.6,Bank Transfer,58.0
10023,2025-05-08,Aswan,Electronics,Tablet,664.11,63,,Wallet,
10024,2025-10-25,Giza,Clothing,Shoes,201.31,93,5.0,Credit Card,29.0
10025,2025-02-06,giza,Electronics,Smartphone,367.07,50,3.9,Wallet,37.0
